"pid","trait","big5_mean_score","big5_C_group"
3621,"C",3,"H"
8189,"C",3,"H"
8460,"C",3.66666666666667,"H"
14553,"C",2.66666666666667,"L"
15032,"C",2.33333333333333,"L"
22372,"C",2.66666666666667,"L"
27038,"C",1,"L"
27165,"C",2,"L"
27286,"C",2.33333333333333,"L"
29197,"C",1.33333333333333,"L"
31619,"C",3.33333333333333,"H"
34733,"C",1,"L"
38200,"C",2,"L"
40056,"C",3,"H"
41502,"C",2.66666666666667,"L"
46859,"C",3.33333333333333,"H"
47314,"C",2.33333333333333,"L"
51611,"C",2.33333333333333,"L"
53319,"C",3.66666666666667,"H"
63674,"C",4,"H"
64352,"C",2,"L"
64951,"C",3,"H"
72644,"C",2.66666666666667,"L"
75222,"C",3.33333333333333,"H"
77875,"C",2.66666666666667,"L"
79380,"C",4,"H"
92095,"C",3,"H"
95407,"C",2.66666666666667,"L"
98812,"C",2,"L"
99065,"C",3,"H"
