"pid","trait","big5_mean_score","big5_N_group"
3621,"N",3.66666666666667,"H"
8189,"N",2.33333333333333,"L"
8460,"N",1.33333333333333,"L"
14553,"N",2.66666666666667,"H"
15032,"N",1.33333333333333,"L"
22372,"N",3.66666666666667,"H"
27038,"N",2.66666666666667,"H"
27165,"N",3,"H"
27286,"N",2,"L"
29197,"N",2.66666666666667,"H"
31619,"N",1,"L"
34733,"N",3,"H"
38200,"N",2,"L"
40056,"N",3,"H"
41502,"N",3.66666666666667,"H"
46859,"N",3.66666666666667,"H"
47314,"N",0.666666666666667,"L"
51611,"N",3.33333333333333,"H"
53319,"N",2,"L"
63674,"N",1.33333333333333,"L"
64352,"N",2.33333333333333,"L"
64951,"N",1,"L"
72644,"N",2.33333333333333,"L"
75222,"N",1.33333333333333,"L"
77875,"N",3.66666666666667,"H"
79380,"N",1,"L"
92095,"N",0.666666666666667,"L"
95407,"N",1.66666666666667,"L"
98812,"N",2.66666666666667,"H"
99065,"N",3.66666666666667,"H"
