"pid","bis_mean_score","bis_group"
3621,1,"L"
8189,1.06666666666667,"L"
8460,0.5,"L"
14553,1.16666666666667,"H"
15032,1.26666666666667,"H"
22372,1.13333333333333,"H"
27038,2.06666666666667,"H"
27165,1.06666666666667,"L"
27286,1.23333333333333,"H"
29197,1.16666666666667,"H"
31619,0.866666666666667,"L"
34733,1.16666666666667,"H"
38200,1.83333333333333,"H"
40056,1.16666666666667,"H"
41502,1.23333333333333,"H"
46859,1,"L"
47314,1,"L"
51611,1.13333333333333,"H"
53319,0.7,"L"
63674,0.566666666666667,"L"
64352,1.33333333333333,"H"
64951,0.866666666666667,"L"
72644,0.933333333333333,"L"
75222,0.766666666666667,"L"
77875,1.56666666666667,"H"
79380,0.433333333333333,"L"
92095,1.2,"H"
95407,1.5,"H"
98812,1.33333333333333,"H"
99065,1,"L"
