"pid","age","gender","edu","lang","sleep","time"
14553,"Under 18","Male","Less than a high school diploma","No","7-9","Morning"
15032,"Under 18","Female","Less than a high school diploma","No","0-6","Morning"
22372,"Under 18","Male","Less than a high school diploma","Yes","0-6","Night"
27038,"Under 18","Female","Less than a high school diploma","No","0-6","Night"
27165,"Under 18","Male","Less than a high school diploma","No","7-9","Morning"
27286,"45-54 years old","Female","Doctorate","No","7-9","Morning"
29197,"Under 18","Female","Less than a high school diploma","No","7-9","Morning"
31619,"Under 18","Female","Less than a high school diploma","No","10-12","Afternoon/Evening"
34733,"Under 18","Male","Less than a high school diploma","Yes","7-9","Afternoon/Evening"
3621,"Under 18","Prefer not to say","Less than a high school diploma","No","7-9","Afternoon/Evening"
38200,"Under 18","Female","Less than a high school diploma","No","7-9","Afternoon/Evening"
40056,"Under 18","Male","Less than a high school diploma","No","7-9","Night"
41502,"Under 18","Female","Less than a high school diploma","No","7-9","Afternoon/Evening"
46859,"18-24 years old","Female","Bachelor's degree","No","7-9","Afternoon/Evening"
47314,"35-44 years old","Female","Doctorate","No","0-6","Morning"
51611,"Under 18","Female","Less than a high school diploma","No","0-6","Night"
53319,"over 55","Female","Doctorate","No","7-9","Morning"
63674,"45-54 years old","Male","High school degree or equivalent","No","0-6","Afternoon/Evening"
64352,"45-54 years old","Female","Bachelor's degree","No","7-9","Afternoon/Evening"
64951,"45-54 years old","Female","Bachelor's degree","No","0-6","Afternoon/Evening"
72644,"Under 18","Female","Less than a high school diploma","No","7-9","Afternoon/Evening"
75222,"45-54 years old","Female","High school degree or equivalent","No","7-9","Afternoon/Evening"
77875,"Under 18","Female","Less than a high school diploma","No","0-6","Morning"
79380,"over 55","Male","Doctorate","No","0-6","Afternoon/Evening"
8189,"45-54 years old","Female","Bachelor's degree","No","7-9","Afternoon/Evening"
8460,"25-34 years old","Female","Master's degree","No","7-9","Morning"
92095,"Under 18","Male","Less than a high school diploma","No","7-9","Morning"
95407,"Under 18","Female","Less than a high school diploma","No","7-9","Morning"
98812,"Under 18","Other","Less than a high school diploma","No","7-9","Afternoon/Evening"
99065,"Under 18","Female","Less than a high school diploma","Yes","7-9","Night"
