"pid","stim_type","flanker_mean_acc","flanker_mean_rt"
3621,"congruent",0.989583333333333,0.422791562508792
3621,"incongruent",0.979166666666667,0.515855468722293
8189,"congruent",1,0.596997135416639
8189,"incongruent",1,0.678140265957463
8460,"congruent",1,0.518507157897234
8460,"incongruent",0.9375,0.611713854162493
14553,"congruent",1,0.516431093750119
14553,"incongruent",0.989583333333333,0.641628593749526
15032,"congruent",0.978947368421053,0.539947368421052
15032,"incongruent",0.925531914893617,0.620659574468088
22372,"congruent",0.96875,0.467775572907461
22372,"incongruent",0.916666666666667,0.589460833332851
27038,"congruent",1,0.557641093750003
27038,"incongruent",0.947916666666667,0.686792031250009
27165,"congruent",0.96875,0.409995208337932
27165,"incongruent",0.614583333333333,0.451783020826648
27286,"congruent",0.988095238095238,0.649226428571461
27286,"incongruent",0.975609756097561,0.713673597560953
31619,"congruent",1,0.497293541669933
31619,"incongruent",1,0.61963000000381
34733,"congruent",0.989583333333333,0.660275520833238
34733,"incongruent",1,0.753657187499812
38200,"congruent",1,0.483520625001499
38200,"incongruent",0.989583333333333,0.58755296875097
40056,"congruent",1,0.583981473687546
40056,"incongruent",0.958333333333333,0.747179895841934
41502,"congruent",0.989583333333333,0.453261718750124
41502,"incongruent",0.864583333333333,0.505054427083755
46859,"congruent",0.989583333333333,0.505468854166659
46859,"incongruent",0.96875,0.571659947916691
47314,"congruent",1,0.5776
47314,"incongruent",1,0.686221052631579
51611,"congruent",1,0.479912343750032
51611,"incongruent",0.979166666666667,0.549772916666682
53319,"congruent",0.989583333333333,0.47243848959503
53319,"incongruent",0.91578947368421,0.539719736845674
63674,"congruent",1,0.671125156244671
63674,"incongruent",1,0.779329157896389
64352,"congruent",0.989583333333333,0.611298177079637
64352,"incongruent",0.989583333333333,0.700851979168268
64951,"congruent",1,0.723694117647063
64951,"incongruent",1,0.910224719101124
72644,"congruent",1,0.488173489584976
72644,"incongruent",0.979166666666667,0.593151354160606
75222,"congruent",1,0.559135104164549
75222,"incongruent",1,0.629234263160278
77875,"congruent",0.98780487804878,0.780683170731696
77875,"incongruent",1,0.94325932926834
79380,"congruent",1,0.515093421051279
79380,"incongruent",0.989473684210526,0.585225210526627
92095,"congruent",0.989583333333333,0.480350156252505
92095,"incongruent",0.936842105263158,0.573704894738605
95407,"congruent",1,0.525796406249962
95407,"incongruent",0.979166666666667,0.608590000002247
98812,"congruent",1,0.508235208331522
98812,"incongruent",0.946808510638298,0.611785691490637
99065,"congruent",1,0.50946687500012
99065,"incongruent",0.916666666666667,0.578733385414428
