"pid","sc_mean_score","sc_group"
3621,2,"H"
8189,1.84615384615385,"L"
8460,3.23076923076923,"H"
14553,2.15384615384615,"H"
15032,1.84615384615385,"L"
22372,1.38461538461538,"L"
27038,0.692307692307692,"L"
27165,2.15384615384615,"H"
27286,1.92307692307692,"H"
29197,2.23076923076923,"H"
31619,2.92307692307692,"H"
34733,1.53846153846154,"L"
38200,1.84615384615385,"L"
40056,1.07692307692308,"L"
41502,1.69230769230769,"L"
46859,2.46153846153846,"H"
47314,1.84615384615385,"L"
51611,1.84615384615385,"L"
53319,3.46153846153846,"H"
63674,3.30769230769231,"H"
64352,1.38461538461538,"L"
64951,2.15384615384615,"H"
72644,2.61538461538462,"H"
75222,3.46153846153846,"H"
77875,1.61538461538462,"L"
79380,3.53846153846154,"H"
92095,1.84615384615385,"L"
95407,1.38461538461538,"L"
98812,1.84615384615385,"L"
99065,2.76923076923077,"H"
